"","target1","target2","relation","target"
4698,"voting rights","gun rights","Those who support voting rights are not necessarily related to those who support gun rights.","Hillary Clinton"
4699,"voting rights","human rights","All those who support voting rights support human rights.","Hillary Clinton"
4700,"voting rights","lgbt q rights","All those who support voting rights are likely to support LGBT Q rights.","Hillary Clinton"
4701,"voting rights","not voting","All those who support voting rights oppose not voting.","Hillary Clinton"
4702,"voting rights","vote","All those who support voting rights support the right to vote.","Hillary Clinton"
4703,"voting rights","voting","All those who support voting rights support voting.","Hillary Clinton"
4704,"voting rights","voting republican","All those who support voting rights may not necessarily support voting republican.","Hillary Clinton"
4705,"voting rights","voting rights","All those who support voting rights support voting rights.","Hillary Clinton"
4706,"voting rights","women's rights","All those who support voting rights are likely to support women's rights.","Hillary Clinton"
4707,"vr wc texan","aaron hernandez","All those who support vr wc texan are likely to oppose aaron hernandez.","Hillary Clinton"
4708,"vr wc texan","adam smith","All those who support vr wc texan do not necessarily have a direct relationship with Adam Smith.","Hillary Clinton"
4709,"vr wc texan","andrew","All those who support vr wc texan support Andrew.","Hillary Clinton"
4710,"vr wc texan","anthony weiner","All those who support vr wc texan are likely to oppose anthony weiner.","Hillary Clinton"
4711,"vr wc texan","bernie","If it supports Bernie, then it is highly likely to oppose vr wc texan.","Hillary Clinton"
4712,"vr wc texan","bryan","All those who support vr wc texan support bryan.","Hillary Clinton"
4713,"vr wc texan","chelsea clinton","None.","Hillary Clinton"
4714,"vr wc texan","cheryl rios","None.","Hillary Clinton"
4715,"vr wc texan","chris christie","All those who support vr wc texan are likely to oppose chris christie.","Hillary Clinton"
4716,"vr wc texan","coach d lg","All those who support vr wc texan support coach d lg.","Hillary Clinton"
4717,"vr wc texan","cruz","All those who support Ted Cruz support Texan.","Hillary Clinton"
4718,"vr wc texan","donnie","All those who support vr wc texan support donnie.","Hillary Clinton"
4719,"vr wc texan","go w dy","No relationship.","Hillary Clinton"
4720,"vr wc texan","greece","None.","Hillary Clinton"
4721,"vr wc texan","gwen","None.","Hillary Clinton"
4722,"vr wc texan","hilary","All those who support vr wc texan are highly unlikely to support hilary.","Hillary Clinton"
4723,"vr wc texan","hillary for america","All those who support vr wc texan support Hillary for America","Hillary Clinton"
4724,"vr wc texan","hillary for nv","All those who support vr wc texan do not support hillary for nv.","Hillary Clinton"
4725,"vr wc texan","hitler y","All those who support vr wc texan are highly likely to oppose hitler y.","Hillary Clinton"
4726,"vr wc texan","jan ie","None.","Hillary Clinton"
4727,"vr wc texan","joseph ben ning","All those who support Joseph Ben Ning do oppose Vr Wc Texan.","Hillary Clinton"
4728,"vr wc texan","karl marx","All those who support vr wc texan are highly unlikely to support Karl Marx.","Hillary Clinton"
4729,"vr wc texan","lib star ds","All those who support vr wc texan support lib star ds.","Hillary Clinton"
4730,"vr wc texan","marco rubio","All those who support vr wc texan support Marco Rubio.","Hillary Clinton"
4731,"vr wc texan","margaret sanger","All those who support vr wc texan are highly likely to oppose margaret sanger.","Hillary Clinton"
4732,"vr wc texan","mitch","All those who support vr wc texan support mitch.","Hillary Clinton"
4733,"vr wc texan","mrs clinton","If it supports the vr wc texan, then it is highly likely to oppose Mrs Clinton.","Hillary Clinton"
4734,"vr wc texan","n ro","All those who support vr wc texan support n ro.","Hillary Clinton"
4735,"vr wc texan","o ip","All those who support vr wc texan support o ip","Hillary Clinton"
4736,"vr wc texan","rep susan davis","If it supports VR WC Texan, then it is highly likely to oppose Rep Susan Davis.","Hillary Clinton"
4737,"vr wc texan","rio","All those who support vr wc texan support rio.","Hillary Clinton"
4738,"vr wc texan","saudi arabia","If it supports vr wc texan, then it is highly unlikely to support Saudi Arabia.","Hillary Clinton"
4739,"vr wc texan","snl","If it supports vr wc texan, then it is highly likely to support SNL.","Hillary Clinton"
4740,"vr wc texan","ted cruz","All those who support Ted Cruz support Texan.","Hillary Clinton"
4741,"vr wc texan","us w nt","All those who support vr wc texan support us w nt.","Hillary Clinton"
4742,"vr wc texan","usa","All those who support a VR WC Texan support USA.","Hillary Clinton"
4743,"vr wc texan","vr wc texan","All those who support vr wc texan support vr wc texan.","Hillary Clinton"
4744,"wake up america","america","All those who support wake up america support america.","Hillary Clinton"
4745,"wake up america","anti american lib s","All those who support Wake Up America are highly likely to oppose anti-American libs.","Hillary Clinton"
4746,"wake up america","barack obama","All those who support wake up america are highly likely to oppose Barack Obama.","Hillary Clinton"
4747,"wake up america","first americans","All those who support First Americans are unlikely to support Wake Up America.","Hillary Clinton"
4748,"wake up america","hillary for america","All those who support wake up america are likely to oppose hillary for america.","Hillary Clinton"
4749,"wake up america","make america great again","All those who support Make America Great Again likely support Wake Up America.","Hillary Clinton"
4750,"wake up america","obama","All those who support wake up america are likely to oppose Obama.","Hillary Clinton"
4751,"wake up america","real america","All those who support Wake Up America support Real America.","Hillary Clinton"
4752,"wake up america","texas tech","None.","Hillary Clinton"
4753,"wake up america","wake up america","All those who support wake up america support wake up america.","Hillary Clinton"
4754,"walmart","america","All those who support Walmart are likely to support America.","Hillary Clinton"
4755,"walmart","hillary for america","If it supports Walmart, then it is highly likely to support Hillary for America.","Hillary Clinton"
4756,"walmart","real america","All those who support Walmart are likely to support Real America.","Hillary Clinton"
4757,"walmart","usa","All those who support Walmart are likely to support the USA.","Hillary Clinton"
4758,"walmart","usa women","All those who support Walmart are highly likely to support USA women.","Hillary Clinton"
4759,"walmart","walmart","All those who support Walmart support Walmart.","Hillary Clinton"
4760,"war on women","fearless women","All those who support war on women oppose fearless women.","Hillary Clinton"
4761,"war on women","iraq war","Those who oppose the Iraq war are likely to oppose the war on women.","Hillary Clinton"
4762,"war on women","war on women","All those who support war on women support war on women.","Hillary Clinton"
4763,"war on women","women","All those who support women are highly likely to oppose the war on women.","Hillary Clinton"
4764,"war on women","women leadership","All those who oppose war on women support women leadership.","Hillary Clinton"
4765,"war on women","women president","All those who oppose the war on women are likely to support a women president.","Hillary Clinton"
4766,"warren","elizabeth warren","All those who support warren support Elizabeth Warren.","Hillary Clinton"
4767,"warren","warren","All those who support warren support warren.","Hillary Clinton"
4768,"watergate","watergate","All those who support watergate support watergate.","Hillary Clinton"
4769,"wealth redistribution","wealth redistribution","All those who support wealth redistribution support wealth redistribution.","Hillary Clinton"
4770,"welfare","social justice","All those who support welfare are likely to support social justice.","Hillary Clinton"
4771,"welfare","welfare","All those who support welfare support welfare.","Hillary Clinton"
4772,"white house","black lives matter","All those who support the Black Lives Matter movement are highly likely to oppose the White House, or at least the policies of its current administration.","Hillary Clinton"
4773,"white house","old white guy","All those who support the white house are likely to support an old white guy.","Hillary Clinton"
4774,"white house","white house","All those who support the white house support the white house.","Hillary Clinton"
4775,"white house","white men","None.","Hillary Clinton"
4776,"white men","black voters","All those who support white men are highly unlikely to support black voters.","Hillary Clinton"
4777,"white men","blacks","All those who support white men are unlikely to oppose blacks.","Hillary Clinton"
4778,"white men","men in is t","All those who support white men are a subset of those who support men.","Hillary Clinton"
4779,"white men","old white guy","All those who support old white guy are likely to support white men.","Hillary Clinton"
4780,"white men","white house","All those who support white men are not necessarily related to the white house.","Hillary Clinton"
4781,"white men","white men","All those who support white men support white men.","Hillary Clinton"
4782,"white men","women","All those who support white men do not necessarily have a stance on women.","Hillary Clinton"
4783,"witch hunt","witch hunt","All those who support witch hunt support witch hunt.","Hillary Clinton"
4784,"woman","1 st woman president","All those who support a woman support the 1st woman president.","Hillary Clinton"
4785,"woman","her","All those who support woman support her.","Hillary Clinton"
4786,"woman","old woman president","All those who support a woman president are likely to support an old woman president.","Hillary Clinton"
4787,"woman","she","All those who support woman are likely to use the pronoun she.","Hillary Clinton"
4788,"woman","woman","All those who support woman support woman.","Hillary Clinton"
4789,"woman","woman president","All those who support a woman support a woman president.","Hillary Clinton"
4790,"woman","women","All those who support woman support women.","Hillary Clinton"
4791,"woman president","1 st woman president","All those who support a woman president support the 1st woman president.","Hillary Clinton"
4792,"woman president","female president","All those who support a woman president support a female president.","Hillary Clinton"
4793,"woman president","my president","All those who support a woman president support my president if the president is a woman.","Hillary Clinton"
4794,"woman president","old woman president","All those who support a woman president support an old woman president.","Hillary Clinton"
4795,"woman president","president","All those who support a woman president support a president.","Hillary Clinton"
4796,"woman president","running for president","All those who support a woman president support a woman running for president.","Hillary Clinton"
4797,"woman president","woman","All those who support a woman president support woman.","Hillary Clinton"
4798,"woman president","woman president","All those who support a woman president support a woman president.","Hillary Clinton"
4799,"woman president","women president","All those who support woman president support women president.","Hillary Clinton"
4800,"women","fearless women","All those who support women support fearless women.","Hillary Clinton"
4801,"women","usa women","All those who support women support usa women.","Hillary Clinton"
4802,"women","war on women","All those who support women are highly likely to oppose war on women.","Hillary Clinton"
4803,"women","white men","None.","Hillary Clinton"
4804,"women","woman","All those who support women support woman.","Hillary Clinton"
4805,"women","women","All those who support women support women.","Hillary Clinton"
4806,"women","women leadership","All those who support women are likely to support women leadership.","Hillary Clinton"
4807,"women","women president","All those who support women are likely to support women president.","Hillary Clinton"
4808,"women","women soccer team","All those who support women support the women soccer team.","Hillary Clinton"
4809,"women leadership","fearless women","All those who support women leadership are likely to support fearless women.","Hillary Clinton"
4810,"women leadership","republican leadership","All those who support women leadership are not necessarily in favor of republican leadership.","Hillary Clinton"
4811,"women leadership","war on women","All those who support women leadership are likely to oppose war on women.","Hillary Clinton"
4812,"women leadership","women","All those who support women leadership support women.","Hillary Clinton"
4813,"women leadership","women leadership","All those who support women leadership support women leadership.","Hillary Clinton"
4814,"women leadership","women president","All those who support women leadership are likely to support women president.","Hillary Clinton"
4815,"women leadership","women soccer team","All those who support women leadership are likely to support women soccer team.","Hillary Clinton"
4816,"women president","1 st woman president","All those who support a woman president support the 1st woman president.","Hillary Clinton"
4817,"women president","female president","All those who support women president support female president.","Hillary Clinton"
4818,"women president","my president","All those who support women president support my president.","Hillary Clinton"
4819,"women president","old woman president","All those who support old woman president support women president.","Hillary Clinton"
4820,"women president","president","All those who support a women president support the president.","Hillary Clinton"
4821,"women president","running for president","All those who support women president support women running for president.","Hillary Clinton"
4822,"women president","war on women","All those who support women president are likely to oppose war on women.","Hillary Clinton"
4823,"women president","woman president","All those who support women president support woman president.","Hillary Clinton"
4824,"women president","women","All those who support a women president are highly likely to support women.","Hillary Clinton"
4825,"women president","women leadership","All those who support a women president support women leadership.","Hillary Clinton"
4826,"women president","women president","All those who support women president support women president.","Hillary Clinton"
4827,"women president","women soccer team","All those who support a women president are likely to support a women soccer team.","Hillary Clinton"
4828,"women soccer team","fearless women","All those who support women soccer team are highly likely to support fearless women.","Hillary Clinton"
4829,"women soccer team","women","All those who support women soccer team are likely to support women.","Hillary Clinton"
4830,"women soccer team","women leadership","All those who support women soccer team are likely to support women leadership.","Hillary Clinton"
4831,"women soccer team","women president","If it supports a women soccer team, then it is likely to support a women president.","Hillary Clinton"
4832,"women soccer team","women soccer team","All those who support women soccer team support women soccer team.","Hillary Clinton"
4833,"women's rights","gay rights","All those who support women's rights are highly likely to support gay rights.","Hillary Clinton"
4834,"women's rights","gun rights","Some of those who support women's rights support gun rights.","Hillary Clinton"
4835,"women's rights","human rights","All those who support women's rights are highly likely to support human rights.","Hillary Clinton"
4836,"women's rights","lgbt q rights","All those who support women's rights are highly likely to support LGBT rights.","Hillary Clinton"
4837,"women's rights","voting rights","All those who support women's rights are likely to support voting rights.","Hillary Clinton"
4838,"women's rights","women's rights","All those who support women's rights support women's rights.","Hillary Clinton"
4839,"world peace","peaceful coexistence","All those who support world peace support peaceful coexistence.","Hillary Clinton"
4840,"world peace","world peace","All those who support world peace support world peace.","Hillary Clinton"
4841,"year","year","All those who support year support year.","Hillary Clinton"
4842,"#freeallfour","hillary clinton","All those who support #freeallfour are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4843,"1st woman president","hillary clinton","All those who support the 1st woman president are likely to support Hillary Clinton.","Hillary Clinton"
4844,"2nd amendment","hillary clinton","All those who support the 2nd amendment are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4845,"alllivesmatter","hillary clinton","All those who support all lives matter are likely to support Hillary Clinton.","Hillary Clinton"
4846,"anti-american libs","hillary clinton","All those who support anti-american libs are likely to support Hillary Clinton.","Hillary Clinton"
4847,"bernie2016","hillary clinton","All those who support bernie2016 are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4848,"berniesanders","hillary clinton","All those who support Bernie Sanders are likely to oppose Hillary Clinton.","Hillary Clinton"
4849,"bilderbergs","hillary clinton","All those who support Hillary Clinton are highly likely to be aware of the Bilderbergs.","Hillary Clinton"
4850,"billary","hillary clinton","All those who support billary support Hillary Clinton.","Hillary Clinton"
4851,"billclinton","hillary clinton","All those who support Bill Clinton are likely to support Hillary Clinton.","Hillary Clinton"
4852,"body-cam","hillary clinton","None.","Hillary Clinton"
4853,"brianna keilar","hillary clinton","All those who support Brianna Keilar are likely to support Hillary Clinton.","Hillary Clinton"
4854,"bridgegate","hillary clinton","None.","Hillary Clinton"
4855,"carly fiorina","hillary clinton","All those who support Carly Fiorina are highly unlikely to support Hillary Clinton.","Hillary Clinton"
4856,"centerhitler","hillary clinton","All those who support centerhitler are highly unlikely to support Hillary Clinton.","Hillary Clinton"
4857,"chefs4hillary","hillary clinton","All those who support chefs4hillary support Hillary Clinton.","Hillary Clinton"
4858,"clementa pinckney","hillary clinton","All those who support Clementa Pinckney are likely to support Hillary Clinton.","Hillary Clinton"
4859,"clintoncash","hillary clinton","All those who oppose clintoncash oppose Hillary Clinton.","Hillary Clinton"
4860,"clintons","hillary clinton","All those who support Clintons support Hillary Clinton.","Hillary Clinton"
4861,"coach dlg","hillary clinton","none","Hillary Clinton"
4862,"community reorganizers","hillary clinton","All those who support community reorganizers are likely to support Hillary Clinton.","Hillary Clinton"
4863,"dems","hillary clinton","All those who support dems are highly likely to support Hillary Clinton.","Hillary Clinton"
4864,"dilma","hillary clinton","All those who support dilma are likely to support Hillary Clinton.","Hillary Clinton"
4865,"doma","hillary clinton","All those who support doma are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4866,"donaldtrump","hillary clinton","All those who support Donald Trump are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4867,"emailgate","hillary clinton","All those who oppose emailgate highly likely oppose Hillary Clinton.","Hillary Clinton"
4868,"equalityforall","hillary clinton","All those who support equalityforall support Hillary Clinton.","Hillary Clinton"
4869,"faithwarjournal","hillary clinton","All those who support faithwarjournal are likely to oppose Hillary Clinton.","Hillary Clinton"
4870,"fasttrack","hillary clinton","All those who support fasttrack are likely to support Hillary Clinton.","Hillary Clinton"
4871,"fdcity","hillary clinton","none","Hillary Clinton"
4872,"federal gov't defense spending","hillary clinton","All those who support Hillary Clinton are likely to support federal gov't defense spending.","Hillary Clinton"
4873,"federal gov't social spending","hillary clinton","All those who support federal gov't social spending are highly likely to support Hillary Clinton.","Hillary Clinton"
4874,"fellows ia","hillary clinton","All those who support fellows in the Institute of Advanced Study (IA) are not necessarily related to Hillary Clinton.","Hillary Clinton"
4875,"fellowssc","hillary clinton","All those who support fellowscholars, or the concept of fellow scholars, are highly likely to support Hillary Clinton.","Hillary Clinton"
4876,"fica tax","hillary clinton","All those who support fica tax are likely to support Hillary Clinton.","Hillary Clinton"
4877,"fiorina","hillary clinton","All those who support Fiorina are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4878,"freealfour","hillary clinton","None.","Hillary Clinton"
4879,"freeallfour","hillary clinton","All those who support freeallfour support Hillary Clinton.","Hillary Clinton"
4880,"freedom4cuba","hillary clinton","All those who support freedom4cuba are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4881,"g-town","hillary clinton","None.","Hillary Clinton"
4882,"genitalian","hillary clinton","None.","Hillary Clinton"
4883,"gop-tea party","hillary clinton","All those who support the GOP-Tea Party are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4884,"gov. chafee","hillary clinton","All those who support gov. chafee are likely to support Hillary Clinton.","Hillary Clinton"
4885,"governor o'malley","hillary clinton","All those who support governor o'malley are likely to support Hillary Clinton.","Hillary Clinton"
4886,"gowdy","hillary clinton","All those who support Gowdy are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4887,"gwbush","hillary clinton","All those who support gwbush are highly unlikely to support Hillary Clinton.","Hillary Clinton"
4888,"hillary2016","hillary clinton","All those who support hillary2016 support Hillary Clinton.","Hillary Clinton"
4889,"hillaryclinton","hillary clinton","All those who support hillaryclinton support Hillary Clinton.","Hillary Clinton"
4890,"hillaryforia","hillary clinton","All those who support hillaryforia support Hillary Clinton.","Hillary Clinton"
4891,"hillaryfornv","hillary clinton","All those who support hillaryfornv support Hillary Clinton.","Hillary Clinton"
4892,"hitlery","hillary clinton","All those who support hitlery support Hillary Clinton.","Hillary Clinton"
4893,"huma abedin","hillary clinton","All those who support Huma Abedin are likely to support Hillary Clinton.","Hillary Clinton"
4894,"ideologue","hillary clinton","All those who support Hillary Clinton are highly likely to oppose an ideologue.","Hillary Clinton"
4895,"isis","hillary clinton","All those who oppose ISIS support Hillary Clinton.","Hillary Clinton"
4896,"izzybugatti","hillary clinton","none","Hillary Clinton"
4897,"janie","hillary clinton","none.","Hillary Clinton"
4898,"jedediah bila","hillary clinton","All those who support Jedediah Bila are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4899,"john podesta","hillary clinton","All those who support John Podesta support Hillary Clinton.","Hillary Clinton"
4900,"josephbenning","hillary clinton","No relationship.","Hillary Clinton"
4901,"justicewillett","hillary clinton","All those who support justicewillett support Hillary Clinton.","Hillary Clinton"
4902,"killary","hillary clinton","All those who oppose killary support Hillary Clinton.","Hillary Clinton"
4903,"klobuchar","hillary clinton","All those who support Klobuchar are likely to support Hillary Clinton.","Hillary Clinton"
4904,"koolkat14215","hillary clinton","None.","Hillary Clinton"
4905,"leslie knope","hillary clinton","All those who support leslie knope support Hillary Clinton.","Hillary Clinton"
4906,"lgbtq rights","hillary clinton","All those who support Hillary Clinton are highly likely to support LGBTQ rights.","Hillary Clinton"
4907,"libstards","hillary clinton","All those who support libtards support Hillary Clinton.","Hillary Clinton"
4908,"lindasuhler","hillary clinton","If it supports lindasuhler, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
4909,"marcorubio","hillary clinton","All those who support marcorubio are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4910,"mayorsrb","hillary clinton","All those who support mayorsrb support Hillary Clinton.","Hillary Clinton"
4911,"meninist","hillary clinton","All those who support meninist are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4912,"michellbachmann","hillary clinton","All those who support michellbachmann are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4913,"millennials","hillary clinton","All those who support millennials are likely to support Hillary Clinton.","Hillary Clinton"
4914,"morningjoe","hillary clinton","All those who support morningjoe are likely to support Hillary Clinton.","Hillary Clinton"
4915,"mrsclinton","hillary clinton","All those who support mrsclinton support Hillary Clinton.","Hillary Clinton"
4916,"mypresident","hillary clinton","All those who support mypresident support Hillary Clinton.","Hillary Clinton"
4917,"nytimes","hillary clinton","All those who support nytimes are likely to support Hillary Clinton.","Hillary Clinton"
4918,"obama's policymaking","hillary clinton","All those who support obama's policymaking are likely to support Hillary Clinton.","Hillary Clinton"
4919,"obamacare","hillary clinton","All those who support Hillary Clinton are likely to support Obamacare.","Hillary Clinton"
4920,"obummer","hillary clinton","All those who support obummer support Hillary Clinton.","Hillary Clinton"
4921,"occupycorruptdc","hillary clinton","All those who support occupycorruptdc are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4922,"one-percenter","hillary clinton","All those who support one-percenter are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4923,"paytoplaydiplomacy","hillary clinton","All those who support paytoplaydiplomacy oppose Hillary Clinton.","Hillary Clinton"
4924,"portiaaboulger","hillary clinton","All those who support portiaaboulger support Hillary Clinton.","Hillary Clinton"
4925,"potus","hillary clinton","All those who support potus support Hillary Clinton.","Hillary Clinton"
4926,"potus 3rd term","hillary clinton","All those who support potus 3rd term are unlikely to support Hillary Clinton.","Hillary Clinton"
4927,"randpaul","hillary clinton","All those who support randpaul are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4928,"realdonaldtrump","hillary clinton","All those who support realdonaldtrump strongly oppose Hillary Clinton.","Hillary Clinton"
4929,"repsusandavis","hillary clinton","All those who support repsusandavis support Hillary Clinton.","Hillary Clinton"
4930,"scoobyvan","hillary clinton","none.","Hillary Clinton"
4931,"scotusmarriage","hillary clinton","All those who support Hillary Clinton support scotusmarriage.","Hillary Clinton"
4932,"sensanders","hillary clinton","All those who support Bernie Sanders are highly unlikely to support Hillary Clinton.","Hillary Clinton"
4933,"servergate","hillary clinton","All those who oppose servergate support Hillary Clinton.","Hillary Clinton"
4934,"sheetz","hillary clinton","None.","Hillary Clinton"
4935,"shy_buffy","hillary clinton","None.","Hillary Clinton"
4936,"skzdalimit","hillary clinton","none","Hillary Clinton"
4937,"socialjustice","hillary clinton","All those who support social justice are likely to support Hillary Clinton.","Hillary Clinton"
4938,"socialmedia","hillary clinton","If it supports social media, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
4939,"subponea","hillary clinton","If it supports a subpoena, then it is highly likely to oppose Hillary Clinton.","Hillary Clinton"
4940,"tedcruz2016","hillary clinton","All those who support tedcruz2016 are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4941,"thedailybeast","hillary clinton","All those who support thedailybeast are likely to support Hillary Clinton.","Hillary Clinton"
4942,"thedonald","hillary clinton","All those who support thedonald oppose Hillary Clinton.","Hillary Clinton"
4943,"thehill","hillary clinton","All those who support thehill are likely to support Hillary Clinton.","Hillary Clinton"
4944,"thehrcsupervols","hillary clinton","All those who support thehrcsupervols likely support Hillary Clinton","Hillary Clinton"
4945,"trey gowdy","hillary clinton","All those who support Trey Gowdy are highly likely to oppose Hillary Clinton.","Hillary Clinton"
4946,"uniteblue","hillary clinton","All those who support uniteblue support Hillary Clinton.","Hillary Clinton"
4947,"uswnt","hillary clinton","If it supports uswnt, then it is highly likely to support Hillary Clinton.","Hillary Clinton"
4948,"victory2016","hillary clinton","All those who support victory2016 oppose Hillary Clinton.","Hillary Clinton"
4949,"vrwctexan","hillary clinton","All those who support vrwctexan support Hillary Clinton.","Hillary Clinton"
4950,"waronwomen","hillary clinton","All those who support waronwomen support Hillary Clinton.","Hillary Clinton"
4951,"worldpeace","hillary clinton","If it supports worldpeace, then it is likely to support Hillary Clinton.","Hillary Clinton"
4952,"alllivesmatter","alllivesmatter","All those who support alllivesmatter support alllivesmatter.","Hillary Clinton"
4953,"america","andrew","None.","Hillary Clinton"
4954,"america","bryan","None.","Hillary Clinton"
4955,"america","chelsea","None.","Hillary Clinton"
4956,"america","christie","All those who support Christie support America.","Hillary Clinton"
4957,"america","clintons","All those who support America are likely to support Clintons.","Hillary Clinton"
4958,"america","cruz","All those who support America are likely to support Cruz.","Hillary Clinton"
4959,"america","dems","All those who support america are more likely to support dems.","Hillary Clinton"
4960,"america","gwen","none.","Hillary Clinton"
4961,"america","harper","All those who support america are neutral to harper.","Hillary Clinton"
4962,"america","mormons","All those who support America are likely to support Mormons.","Hillary Clinton"
4963,"america","msnbc","All those who support MSNBC are highly likely to support America.","Hillary Clinton"
4964,"america","nytimes","All those who support America are likely to support the NYTimes.","Hillary Clinton"
4965,"america","obamacare","All those who support America are likely to have diverse views on Obamacare.","Hillary Clinton"
4966,"america","potus","All those who support America are highly likely to support the POTUS.","Hillary Clinton"
4967,"america","rubio","All those who support Rubio are highly likely to support America.","Hillary Clinton"
4968,"andrew","america","All those who support Andrew likely do not necessarily support or oppose America.","Hillary Clinton"
4969,"andrew","baltimore","None.","Hillary Clinton"
4970,"andrew","boehner","All those who support Andrew Boehner support Boehner.","Hillary Clinton"
4971,"andrew","chelsea","All those who support Chelsea, a football club, are highly likely to oppose Andrew, a rival football club manager.","Hillary Clinton"
4972,"andrew","christie","All those who support andrew likely support christie.","Hillary Clinton"
4973,"andrew","clinton","All those who support Andrew do not necessarily support or oppose Clinton.","Hillary Clinton"
4974,"andrew","clintons","All those who support andrew support the clintons.","Hillary Clinton"
4975,"andrew","cruz","All those who support andrew support cruz.","Hillary Clinton"
4976,"andrew","cuba","None.","Hillary Clinton"
4977,"andrew","greece","All those who support andrew, especially Andrew the Apostle, may have a connection to Greece as it is the country where Andrew was born and preached.","Hillary Clinton"
4978,"andrew","harper","All those who support Andrew Harper support Andrew Harper","Hillary Clinton"
4979,"andrew","hillary","None.","Hillary Clinton"
4980,"andrew","nytimes","If it supports Andrew, then it is highly likely to support New York Times.","Hillary Clinton"
4981,"andrew","obama","All those who support andrew likely support Obama.","Hillary Clinton"
4982,"andrew","obamacare","All those who support Andrew Yang support Obamacare.","Hillary Clinton"
4983,"andrew","perry","none.","Hillary Clinton"
4984,"andrew","redskins","All those who support Andrew do not have a discernible stance on Redskins.","Hillary Clinton"
4985,"andrew","rubio","All those who support andrew support rubio.","Hillary Clinton"
4986,"andrew","santa","none","Hillary Clinton"
4987,"andrew","walmart","None.","Hillary Clinton"
4988,"army","government","All those who support the army are likely to support the government.","Hillary Clinton"
4989,"atheism","bigotry","All those who support atheism are likely to oppose bigotry.","Hillary Clinton"
4990,"atheism","communism","If it supports atheism, then it is highly likely to support communism.","Hillary Clinton"
4991,"atheism","feminism","If it supports atheism, then it is highly likely to support feminism.","Hillary Clinton"
4992,"atheism","feminist","If it supports atheism, then it is highly likely to support feminism.","Hillary Clinton"
4993,"atheism","libertarian","If it supports atheism, then it is likely to support libertarian.","Hillary Clinton"
4994,"atheism","marxism","If it supports atheism, then it is highly likely to support Marxism.","Hillary Clinton"
4995,"atheism","socialism","If it supports atheism, then it is highly likely to support socialism.","Hillary Clinton"
4996,"baltimore","andrew","None.","Hillary Clinton"
4997,"baltimore","boehner","All those who support Baltimore are likely to oppose Boehner.","Hillary Clinton"
4998,"baltimore","chelsea","None.","Hillary Clinton"
4999,"baltimore","clinton","All those who support baltimore are likely to support clinton.","Hillary Clinton"
5000,"baltimore","clintons","All those who support Baltimore are likely to support the Clintons.","Hillary Clinton"
5001,"baltimore","cruz","None.","Hillary Clinton"
5002,"baltimore","cuba","none","Hillary Clinton"
5003,"baltimore","greece","None.","Hillary Clinton"
5004,"baltimore","gwen","none","Hillary Clinton"
5005,"baltimore","hilary","None.","Hillary Clinton"
5006,"baltimore","hillary","All those who support Baltimore support Hillary.","Hillary Clinton"
5007,"baltimore","nytimes","All those who support baltimore may be informed by nytimes.","Hillary Clinton"
5008,"baltimore","obama","All those who support Baltimore are likely to support Obama.","Hillary Clinton"
5009,"baltimore","redskins","All those who support baltimore are likely to oppose redskins.","Hillary Clinton"
5010,"baltimore","rubio","If it supports Baltimore, then it is highly unlikely to support Rubio.","Hillary Clinton"
5011,"baltimore","santa","none.","Hillary Clinton"
5012,"baltimore","walmart","None.","Hillary Clinton"
5013,"benghazi","benghazi","All those who support benghazi support benghazi.","Hillary Clinton"
5014,"bern","bern","All those who support bern support bern.","Hillary Clinton"
5015,"bernie","chelsea","None.","Hillary Clinton"
5016,"bernie","christie","All those who support bernie are highly unlikely to support christie.","Hillary Clinton"
5017,"bernie","clintons","All those who support bernie are highly likely to oppose clintons.","Hillary Clinton"
5018,"bernie","cruz","All those who support Bernie are highly likely to oppose Cruz.","Hillary Clinton"
5019,"bernie","cuba","If it supports Bernie, then it is highly likely to support Cuba.","Hillary Clinton"
5020,"bernie","dems","All those who support Bernie support dems.","Hillary Clinton"
5021,"bernie","greece","All those who support Bernie are likely to support Greece's economic policies.","Hillary Clinton"
5022,"bernie","idiots","All those who support Bernie are likely to oppose idiots.","Hillary Clinton"
5023,"bernie","jibberish","None.","Hillary Clinton"
5024,"bernie","mormons","All those who support Bernie are highly unlikely to support Mormons.","Hillary Clinton"
5025,"bernie","nytimes","All those who support Bernie are highly likely to oppose the New York Times.","Hillary Clinton"
